product,category,price,quantity,revenue,rating
Laptop,Electronics,999.99,5,4999.95,4.5
Mouse,Electronics,29.99,15,449.85,4.2
Keyboard,Electronics,79.99,8,639.92,4.7
Monitor,Electronics,299.99,3,899.97,4.4
Desk Chair,Furniture,199.99,12,2399.88,4.3
Standing Desk,Furniture,499.99,6,2999.94,4.8
Notebook,Office Supplies,5.99,50,299.50,4.1
Pen Set,Office Supplies,12.99,30,389.70,4.0
Coffee Mug,Kitchen,15.99,25,399.75,4.6
Water Bottle,Kitchen,24.99,20,499.80,4.5
Headphones,Electronics,149.99,10,1499.90,4.9
USB Cable,Electronics,9.99,40,399.60,3.8
Desk Lamp,Furniture,39.99,18,719.82,4.2
File Organizer,Office Supplies,19.99,22,439.78,3.9
Plant Pot,Decor,29.99,15,449.85,4.4
