date,p50,model,generated_at,data_cutoff,series
2026-12-31,3935.5,gemini-3-flash-preview,2026-01-10,2025-12-31,us
2027-12-31,3950.2,gemini-3-flash-preview,2026-01-10,2025-12-31,us
2026-12-31,1179.125312229189,gemini-3-flash-preview,2026-01-10,2025-12-31,padd1
2027-12-31,1171.7948708182566,gemini-3-flash-preview,2026-01-10,2025-12-31,padd1
2026-12-31,1289.3642503950657,gemini-3-flash-preview,2026-01-10,2025-12-31,padd2
2027-12-31,1296.722798197169,gemini-3-flash-preview,2026-01-10,2025-12-31,padd2
2026-12-31,855.1291609318448,gemini-3-flash-preview,2026-01-10,2025-12-31,padd3
2027-12-31,860.6034660064748,gemini-3-flash-preview,2026-01-10,2025-12-31,padd3
2026-12-31,218.17078299434164,gemini-3-flash-preview,2026-01-10,2025-12-31,padd4
2027-12-31,221.67058972894048,gemini-3-flash-preview,2026-01-10,2025-12-31,padd4
2026-12-31,393.71049344955907,gemini-3-flash-preview,2026-01-10,2025-12-31,padd5
2027-12-31,399.4082752491588,gemini-3-flash-preview,2026-01-10,2025-12-31,padd5
