date,p50,model,generated_at,data_cutoff,series
2026-03-31,4080.5,gemini-3-flash-preview,2026-01-10,2025-12-31,us
2026-06-30,3965.2,gemini-3-flash-preview,2026-01-10,2025-12-31,us
2026-09-30,3912.8,gemini-3-flash-preview,2026-01-10,2025-12-31,us
2026-12-31,4045.6,gemini-3-flash-preview,2026-01-10,2025-12-31,us
2027-03-31,4115.3,gemini-3-flash-preview,2026-01-10,2025-12-31,us
2027-06-30,3998.7,gemini-3-flash-preview,2026-01-10,2025-12-31,us
2027-09-30,3946.4,gemini-3-flash-preview,2026-01-10,2025-12-31,us
2027-12-31,4082.9,gemini-3-flash-preview,2026-01-10,2025-12-31,us
2026-03-31,1358.8540091868135,gemini-3-flash-preview,2026-01-10,2025-12-31,padd1
2026-06-30,1105.850184646613,gemini-3-flash-preview,2026-01-10,2025-12-31,padd1
2026-09-30,1069.101033143913,gemini-3-flash-preview,2026-01-10,2025-12-31,padd1
2026-12-31,1196.3331690487923,gemini-3-flash-preview,2026-01-10,2025-12-31,padd1
2027-03-31,1351.2217741935483,gemini-3-flash-preview,2026-01-10,2025-12-31,padd1
2027-06-30,1101.3884798943943,gemini-3-flash-preview,2026-01-10,2025-12-31,padd1
2027-09-30,1065.4381987803886,gemini-3-flash-preview,2026-01-10,2025-12-31,padd1
2027-12-31,1194.4984898735113,gemini-3-flash-preview,2026-01-10,2025-12-31,padd1
2026-03-31,1276.0044774326625,gemini-3-flash-preview,2026-01-10,2025-12-31,padd2
2026-06-30,1334.832190770228,gemini-3-flash-preview,2026-01-10,2025-12-31,padd2
2026-09-30,1346.1552724439564,gemini-3-flash-preview,2026-01-10,2025-12-31,padd2
2026-12-31,1359.2958637570357,gemini-3-flash-preview,2026-01-10,2025-12-31,padd2
2027-03-31,1298.9000288018435,gemini-3-flash-preview,2026-01-10,2025-12-31,padd2
2027-06-30,1355.3676482534524,gemini-3-flash-preview,2026-01-10,2025-12-31,padd2
2027-09-30,1368.6314690618933,gemini-3-flash-preview,2026-01-10,2025-12-31,padd2
2027-12-31,1383.602217046736,gemini-3-flash-preview,2026-01-10,2025-12-31,padd2
2026-03-31,867.2835010127033,gemini-3-flash-preview,2026-01-10,2025-12-31,padd3
2026-06-30,878.0856282675627,gemini-3-flash-preview,2026-01-10,2025-12-31,padd3
2026-09-30,853.380765437268,gemini-3-flash-preview,2026-01-10,2025-12-31,padd3
2026-12-31,873.3734795051583,gemini-3-flash-preview,2026-01-10,2025-12-31,padd3
2027-03-31,871.6904377880185,gemini-3-flash-preview,2026-01-10,2025-12-31,padd3
2027-06-30,880.6032316206337,gemini-3-flash-preview,2026-01-10,2025-12-31,padd3
2027-09-30,857.6777500182128,gemini-3-flash-preview,2026-01-10,2025-12-31,padd3
2027-12-31,876.9735748438438,gemini-3-flash-preview,2026-01-10,2025-12-31,padd3
2026-03-31,208.22240538783015,gemini-3-flash-preview,2026-01-10,2025-12-31,padd4
2026-06-30,225.39729298684017,gemini-3-flash-preview,2026-01-10,2025-12-31,padd4
2026-09-30,233.7497361565838,gemini-3-flash-preview,2026-01-10,2025-12-31,padd4
2026-12-31,219.49530132407816,gemini-3-flash-preview,2026-01-10,2025-12-31,padd4
2027-03-31,212.5041762672811,gemini-3-flash-preview,2026-01-10,2025-12-31,padd4
2027-06-30,229.92118958164096,gemini-3-flash-preview,2026-01-10,2025-12-31,padd4
2027-09-30,238.6243330919251,gemini-3-flash-preview,2026-01-10,2025-12-31,padd4
2027-12-31,224.6194769283945,gemini-3-flash-preview,2026-01-10,2025-12-31,padd4
2026-03-31,370.13560697999026,gemini-3-flash-preview,2026-01-10,2025-12-31,padd5
2026-06-30,421.0347033287562,gemini-3-flash-preview,2026-01-10,2025-12-31,padd5
2026-09-30,410.41319281827936,gemini-3-flash-preview,2026-01-10,2025-12-31,padd5
2026-12-31,397.1021863649353,gemini-3-flash-preview,2026-01-10,2025-12-31,padd5
2027-03-31,380.9835829493088,gemini-3-flash-preview,2026-01-10,2025-12-31,padd5
2027-06-30,431.4194506498782,gemini-3-flash-preview,2026-01-10,2025-12-31,padd5
2027-09-30,416.02824904758035,gemini-3-flash-preview,2026-01-10,2025-12-31,padd5
2027-12-31,403.2062413075144,gemini-3-flash-preview,2026-01-10,2025-12-31,padd5
