瘤痢,斥档,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公
,,窜浅矫累,窜浅矫累(乞厚),窜浅例沥,窜浅例沥(乞厚),窜浅场,窜浅场(乞厚),倡糠矫累,倡糠矫累(乞厚),倡糠场,倡糠场(乞厚),窜浅矫累,窜浅矫累(乞厚),窜浅例沥,窜浅例沥(乞厚),窜浅场,窜浅场(乞厚),倡糠矫累,倡糠矫累(乞厚),倡糠场,倡糠场(乞厚)
碍釜,1989,1989-09-30, ,1989-10-19, , , ,1989-11-05, ,搬螟,—,1989-10-07, ,1989-10-21, , , ,搬螟,—,1989-11-20, 
碍釜,1990,1990-11-01, ,1990-11-09, , , ,1990-11-21, ,1990-11-28, ,1990-10-22, ,1990-11-15, , , ,1990-11-21, ,1990-11-28, 
碍釜,1991,1991-11-02, ,1991-11-10, , , , , , , ,1991-10-30, ,1991-11-06, , , , , , , 
碍釜,1992,1992-11-01, ,1992-11-06, , , , , , , ,1992-11-06, ,1992-11-10, , , , , , , 
碍釜,1993,1993-10-26, ,1993-11-03, , , , , , , ,1993-10-26, ,1993-11-03, , , , , , , 
碍釜,1994,1994-10-28, ,1994-11-03, , , , , , , ,1994-10-28, ,1994-11-03, , , ,1994-10-28, ,搬螟,—
碍釜,1995,1995-11-12, , , , , , , , , ,1995-10-30, , , , , , , , , 
碍釜,1996,1996-11-15, ,1996-11-21, , , , , , , ,1996-11-06, ,1996-11-20, , , , , , , 
碍釜,1997,1997-10-30, ,1997-11-09, , , , , , , ,1997-10-18, ,1997-11-07, , , , , , , 
碍釜,1998,1998-10-26, ,1998-11-16, , , , , , , ,1998-10-26, ,1998-11-21, , , , , , , 
碍釜,1999,1999-10-27, ,1999-11-05, , , , , , , ,1999-10-18, ,1999-11-05, , , , , , , 
碍釜,2000,2000-11-13, ,2000-11-17, , , , , , , ,2000-10-20, ,2000-11-17, , , , , , , 
碍釜,2001,2001-10-26, ,2001-11-15, , , , , , , ,2001-10-11, ,2001-10-31, , , , , , , 
碍釜,2002,2002-10-26, ,2002-11-07, , , , , , , ,2002-10-07, ,2002-10-27, , , , , , , 
碍釜,2003,2003-10-29, ,2003-11-06, , , , , , , ,2003-10-02, ,2003-10-30, , , , , , , 
碍釜,2004,2004-10-31, ,2004-11-10, , , , , , , ,2004-10-04, ,2004-11-08, , , , , , , 
碍釜,2005,2005-11-01, ,2005-11-11, , , , , , , ,2005-10-21, ,2005-11-02, , , , , , , 
碍釜,2006,2006-11-06, ,2006-11-19, , , , , , , ,2006-10-30, ,2006-11-10, , , , , , , 
碍釜,2007,2007-11-05, ,2007-11-13, , , , , , , ,2007-10-15, ,2007-11-07, , , , , , , 
措包飞,1988, , , , , , , , , , ,1988-09-06, ,搬螟,—, , ,1988-10-11, ,搬螟,—
措包飞,1989, , , , , , , , , , ,搬螟,—,搬螟,—, , ,搬螟,—,搬螟,—
措包飞,1990, , , , , , , , , , ,搬螟,—,搬螟,—, , ,搬螟,—,搬螟,—
措包飞,1991,搬螟,—,搬螟,—, , , , , , ,搬螟,—,搬螟,—, , , , , , 
措包飞,2009,包螟 救凳,—, , , , , , , , ,包螟 救凳,—, , , , , , , , 
措包飞,2011,2011-10-07, ,2011-10-12, , , , , , , ,2011-10-07, ,2011-10-12, , , , , , , 
措包飞,2012,2012-09-29, ,2012-10-09, , , , , , , ,2012-09-29, ,2012-10-09, , , , , , , 
措包飞,2013,2013-10-04, ,2013-10-14, , , , , , , ,2013-10-04, ,2013-10-14, , , , , , , 
措包飞,2014,2014-10-02, ,2014-10-19, , , , , , , ,2014-10-02, ,2014-10-19, , , , , , , 
悼秦,1993,1993-11-01,7老,1993-11-06,2老, , , , , , ,1993-11-01,7老,1993-11-06,2老, , , , , , 
悼秦,1994,1994-10-31,6老,1994-11-10,6老, , , , , , ,1994-10-31,6老,1994-11-10,6老, , , , , , 
悼秦,1995,1995-10-25,0老,1995-10-31,-4老, , , , , , ,1995-10-23,-2老,1995-10-30,-5老, , , , , , 
悼秦,1996,1996-10-20,-5老,1996-10-28,-7老, , , , , , ,1996-10-20,-5老,1996-10-28,-7老, , , , , , 
悼秦,1997,1997-10-20,-5老,1997-10-30,-5老, , , , , , ,1997-10-23,-2老,1997-11-02,-2老, , , , , , 
悼秦,1998,1998-10-26,1老,1998-11-11,7老, , , , , , ,1998-10-26,1老,1998-11-11,7老, , , , , , 
悼秦,1999,1999-10-28,3老,1999-11-09,5老, , , , , , ,1999-10-30,5老,1999-11-09,5老, , , , , , 
悼秦,2000,2000-10-26,1老,2000-11-03,-1老, , , , , , ,2000-10-26,1老,2000-11-06,2老, , , , , , 
悼秦,2001,2001-10-25,0老,2001-11-07,3老, , , , , , ,2001-10-25,0老,2001-11-07,3老, , , , , , 
悼秦,2002,2002-10-20,-5老,2002-11-02,-2老, , , , , , ,2002-10-20,-5老,2002-11-02,-2老, , , , , , 
悼秦,2003,2003-10-24,-1老,2003-10-30,-5老, , , , , , ,2003-10-25,0老,2003-10-31,-4老, , , , , , 
悼秦,2004,2004-10-20,-5老,2004-11-05,1老, , , , , , ,2004-10-30,5老,2004-11-10,6老, , , , , , 
悼秦,2005,2005-10-24,-1老,2005-10-29,-6老, , , , , , ,2005-10-24,-1老,2005-10-29,-6老, , , , , , 
悼秦,2006,2006-10-30,5老,2006-11-15,11老, , , , , , ,2006-10-30,5老,2006-11-15,11老, , , , , , 
悼秦,2007,2007-10-31,6老,2007-11-13,9老, , , , , , ,2007-10-31,6老,2007-11-11,7老, , , , , , 
悼秦,2008,2008-10-30,5老,2008-11-15,11老, , , , , , ,2008-10-20,-5老,2008-11-10,6老, , , , , , 
悼秦,2009,2009-10-20,-5老,2009-10-27,-8老, , , , , , ,2009-10-20,-5老,2009-10-27,-8老, , , , , , 
悼秦,2010,2010-10-21,-4老,2010-10-29,-6老, , , , , , ,2010-10-21,-4老,2010-10-29,-6老, , , , , , 
悼秦,2011,2011-10-18,-7老,2011-10-28,-7老, , , , , , ,2011-10-18,-7老,2011-10-28,-7老, , , , , , 
悼秦,2012,2012-10-18,-7老,2012-10-30,-5老, , , , , , ,2012-10-20,-5老,2012-10-30,-5老, , , , , , 
悼秦,2013,2013-10-23,-2老,2013-10-31,-4老, , , , , , ,2013-10-23,-2老,2013-10-31,-4老, , , , , , 
悼秦,2014,2014-10-19,-6老, , , , , , , , ,2014-10-19,-6老, , , , , , , , 
合碍釜,2008,2008-10-30,3老,2008-11-15,10老, , , , , , ,2008-10-20,0老,2008-11-10,7老, , , , , , 
合碍釜,2009,2009-10-20,-7老,2009-10-28,-8老, , , , , , ,2009-10-20,0老,2009-10-28,-6老, , , , , , 
合碍釜,2010,2010-10-24,-3老,2010-11-08,3老, , , , , , ,2010-10-24,4老,2010-11-08,5老, , , , , , 
合碍釜,2011,2011-10-17,-10老,2011-10-27,-9老, , , , , , ,2011-10-17,-3老,2011-10-27,-7老, , , , , , 
合碍釜,2012,2012-10-15,-12老,2012-10-25,-11老, , , , , , ,2012-10-15,-5老,2012-10-25,-9老, , , , , , 
合碍釜,2013,2013-10-22,-5老,2013-10-30,-6老, , , , , , ,2013-10-22,2老,2013-10-30,-4老, , , , , , 
合碍釜,2014,2014-10-18,-9老,2014-10-28,-8老, , , , , , ,2014-10-18,-2老,2014-10-28,-6老, , , , , , 
合碍釜,2015,2015-10-19,-8老,2015-10-29,-7老, , , , , , ,2015-10-19,-1老,2015-10-29,-5老, , , , , , 
合碍釜,2016,2016-10-14,-13老,2016-10-24,-12老, , , , , , ,2016-10-14,-6老,2016-10-24,-10老, , , , , , 
合碍釜,2017,2017-10-13,-14老,2017-10-23,-13老, , , , , , ,2017-10-13,-7老,2017-10-23,-11老, , , , , , 
合碍釜,2018,2018-10-10,-17老,2018-10-19,-17老, , , , , , ,2018-10-10,-10老,2018-10-19,-15老, , , , , , 
合碍釜,2019,2019-10-21,-6老,2019-10-30,-6老, , , , , , ,2019-10-21,1老,2019-10-30,-4老, , , , , , 
合碍釜,2020,2020-10-19,-8老,2020-10-27,-9老, , , , , , ,2020-10-20,0老,2020-10-27,-7老, , , , , , 
合碍釜,2021,2021-10-23,-4老,2021-10-31,-5老, , , , , , ,2021-10-23,3老,2021-10-29,-5老, , , , , , 
合碍釜,2022,2022-10-21,-6老,2022-10-26,-10老, , , , , , ,2022-10-19,-1老,2022-10-26,-8老, , , , , , 
合碍釜,2023,2023-10-26,-1老,2023-11-03,-2老, , , , , , ,2023-10-16,-4老,2023-10-30,-4老, , , , , , 
合冕玫,2016,2016-10-18,0老,2016-10-30,1老, , , , , , ,2016-10-17,2老,2016-10-30,3老, , , , , , 
合冕玫,2017,2017-10-16,-2老,2017-10-25,-4老, , , , , , ,2017-10-12,-3老,2017-10-25,-2老, , , , , , 
合冕玫,2018,2018-10-18,0老,2018-10-26,-3老, , , , , , ,2018-10-16,1老,2018-10-26,-1老, , , , , , 
合冕玫,2019,2019-10-31,13老,2019-11-03,5老, , , , , , ,2019-10-21,6老,2019-10-28,1老, , , , , , 
