region,Hemisphere,seg_index,face,plot_order
dCa,R,228,lateral,1
mAmyg,R,212,lateral,2
rHipp,R,216,lateral,3
lAmyg,R,214,lateral,4
cHipp,R,218,lateral,5
cTtha,R,244,lateral,6
Otha,R,242,lateral,7
mPMtha,R,234,lateral,8
PPtha,R,240,lateral,9
lPFtha,R,246,lateral,10
Stha,R,236,lateral,11
rTtha,R,238,lateral,12
vCa,R,220,lateral,13
NAC,R,224,lateral,14
vmPu,R,226,lateral,15
GP,R,222,lateral,16
cHipp,R,218,lateral,17
dlPu,R,230,lateral,18
cHipp,R,218,medial,19
rHipp,R,216,medial,20
vmPu,R,226,medial,21
Otha,R,242,medial,22
PPtha,R,240,medial,23
cTtha,R,244,medial,24
dCa,R,228,medial,25
vCa,R,220,medial,26
NAC,R,224,medial,27
GP,R,222,medial,28
lPFtha,R,246,medial,29
mPFtha,R,232,medial,30
rTtha,R,238,medial,31
mAmyg,R,212,medial,32
