name,logicalN,logicalH,low bound,low dist,high bound,high dist,val_channel
Albumin,1,1.00E+99,none,none,7.2,norm,0
ALKP,0.1,1.00E+99,none,none,5000,lognorm,0
ALT,0.1,1.00E+99,none,none,6500,lognorm,0
Amylase,0.1,1.00E+99,none,none,6000,lognorm,0
AST,0.1,1.00E+99,none,none,6000,lognorm,0
B12,1,1.00E+99,none,none,2500,lognorm,0
Basophils#,0,1.00E+99,none,none,18,lognorm,0
Basophils%,0,100,none,none,25,lognorm,0
Bicarbonate,0.1,1.00E+99,5.048214541,norm,48.02457951,norm,0
Bilirubin,0,1.00E+99,none,none,50,lognorm,0
BMI,5,1.00E+99,none,none,70,norm,0
Ca,0.1,1.00E+99,0.1,lognorm,20,lognorm,0
CA125,0,1.00E+99,none,none,2024.757971,lognorm,0
Cholesterol,1,1.00E+99,none,none,1200,lognorm,0
Cholesterol_over_HDL,0,1.00E+99,none,none,36.09669438,lognorm,0
CK,0,1.00E+99,none,none,3000,lognorm,0
Cl,0.1,1.00E+99,0.1,lognorm,140,lognorm,0
CO2,1,1.00E+99,none,none,52.46921412,norm,0
CorrectedCa,0.1,1.00E+99,0.1,lognorm,20,lognorm,0
Creatinine,0,1.00E+99,none,none,20,lognorm,0
CRP,0,1.00E+99,none,none,300,lognorm,0
Digoxin,0,1.00E+99,none,none,88.49217997,lognorm,0
eGFR,0,1.00E+99,none,none,145,lognorm,0
eGFR_CKD_EPI,0,1.00E+99,none,none,145,norm,0
eGFR_MDRD,0,1.00E+99,none,none,145,norm,0
Eosinophils#,0,1.00E+99,none,none,50,lognorm,0
Eosinophils%,0,100,none,none,100,none,0
Erythrocyte,0,1.00E+99,none,none,13772.43655,lognorm,0
Ferritin,0,1.00E+99,none,none,20000,lognorm,0
Fibrinogen,0,1.00E+99,none,none,3500,lognorm,0
Follic_Acid,0,1.00E+99,none,none,30,lognorm,0
FreeT3,0.001,1.00E+99,none,none,46.79056395,lognorm,0
FreeT4,0.001,1.00E+99,none,none,64.27336088,lognorm,0
FSH,0,1.00E+99,none,none,45399.78,lognorm,0
GFR,0,1.00E+99,none,none,146,lognorm,0
GGT,0,1.00E+99,none,none,8000,lognorm,0
Globulin,0,1.00E+99,none,none,87.00820496,lognorm,0
Glucose,10,1.00E+99,none,none,5000,lognorm,0
HbA1C,0,100,none,none,50,lognorm,0
HDL,0,1.00E+99,none,none,420,lognorm,0
HDL_over_Cholesterol,0,1.00E+99,none,none,3.122539968,lognorm,0
HDL_over_LDL,0,1.00E+99,none,none,12.19513883,lognorm,0
HDL_over_nonHDL,0,1.00E+99,none,none,2.029837851,norm,0
Height,20,1.00E+99,none,none,300,norm,0
Hematocrit,0.1,100,none,none,75,norm,0
Hemoglobin,2,100,none,none,25,norm,0
INR,0.01,1.00E+99,none,none,11,manual,0
Iron_Fe,1,1.00E+99,none,none,700,norm,0
K+,1.5,1.00E+99,1.5,lognorm,11,lognorm,0
LDH,1,1.00E+99,none,none,12000,lognorm,0
LDL,1,1.00E+99,none,none,2000,lognorm,0
LDL_over_HDL,0,1.00E+99,none,none,51.72779688,lognorm,0
Lithium,0,1.00E+99,none,none,150,lognorm,0
LUC,0,1.00E+99,none,none,2.817745324,lognorm,0
LuteinisingHormone,0,1.00E+99,none,none,12098.73012,lognorm,0
Lymphocytes#,0,1.00E+99,none,none,500,lognorm,0
Lymphocytes%,0,100,none,none,100,none,0
MCH,0.01,1.00E+99,none,none,500,norm,0
MCHC-M,0.1,1.00E+99,none,none,200,norm,0
MCV,1,1.00E+99,none,none,150,norm,0
Mg,0.01,1.00E+99,none,none,2.113294532,lognorm,0
Monocytes#,0,1.00E+99,none,none,40,lognorm,0
Monocytes%,0,100,none,none,100,none,0
MPV,0.1,1.00E+99,none,none,27,lognorm,0
Na,100,1.00E+99,100,lognorm,200,lognorm,0
Neutrophils#,0,1.00E+99,none,none,150,lognorm,0
Neutrophils%,0,100,none,none,100,none,0
NonHDLCholesterol,0,1.00E+99,none,none,1401.434359,lognorm,0
NRBC,0,1.00E+99,none,none,3476.436337,lognorm,0
PDW,0,100,none,none,39.42776545,lognorm,0
PFR,0,1.00E+99,none,none,1328.242946,norm,0
Phosphore,0.1,1.00E+99,none,none,20,norm,0
PlasmaAnionGap,-1.00E+99,1.00E+99,-4.790862408,norm,38.30832862,norm,0
PlasmaViscosity,0.1,1.00E+99,none,none,5.093440521,lognorm,0
Platelets,0.1,1.00E+99,none,none,3000,lognorm,0
Platelets_Hematocrit,0,100,none,none,none,none,0
Progesterone,0,1.00E+99,none,none,724363.8626,lognorm,0
Prolactin,0,1.00E+99,none,none,16288.44876,lognorm,0
Protein_Total,0.1,1.00E+99,none,none,15,lognorm,0
PSA,0,1.00E+99,none,none,5000,lognorm,0
PULSE,1,300,none,none,285.3549087,lognorm,0
RandomGlucose,1,1.00E+99,none,none,1136.372137,lognorm,0
RBC,0,1.00E+99,none,none,10,norm,0
RDW,0,100,none,none,100,lognorm,0
Reticulocyte,0,1.00E+99,none,none,17270.35704,lognorm,0
Rheumatoid_Factor,0,1.00E+99,none,none,3021.474146,lognorm,0
Serum_Oestradiol,0,1.00E+99,none,none,188460.5286,lognorm,0
SerumAnionGap,-1.00E+99,1.00E+99,-7.763505351,norm,34.21884248,norm,0
Sex_Hormone_Binding_Globulin,0,1.00E+99,none,none,3209.154851,lognorm,0
T4,0.001,1.00E+99,none,none,40.14304291,norm,0
Testosterone,0,1.00E+99,none,none,572.4061104,lognorm,0
TIBC,0,1.00E+99,none,none,146.4669744,norm,0
Transferrin,10,1.00E+99,none,none,1250,lognorm,0
Transferrin_Saturation_Index,0,100,none,none,none,none,0
Triglycerides,5,1.00E+99,none,none,10000,lognorm,0
TSH,0,1.00E+99,none,none,302.8916089,lognorm,0
Urea,0,1.00E+99,none,none,600,lognorm,0
Uric_Acid,0,1.00E+99,none,none,50,lognorm,0
Urine_Dipstick_pH,0,14,none,none,12.65839393,lognorm,0
Urine_Epithelial_Cell,0,1.00E+99,none,none,464267.9586,lognorm,0
Urine_Microalbumin,0,1.00E+99,none,none,99771.15903,lognorm,0
Urine_Protein_Creatinine,0,1.00E+99,none,none,29928.16788,lognorm,0
UrineAlbumin,0,1.00E+99,none,none,113282.8368,lognorm,0
UrineAlbumin_over_Creatinine,0,1.00E+99,none,none,20116.5322,lognorm,0
UrineCreatinine,0,1.00E+99,none,none,3007.223193,lognorm,0
UrineTotalProtein,0,1.00E+99,none,none,159.820147,lognorm,0
VitaminD_25,0,1.00E+99,none,none,500,lognorm,0
WBC,0.01,1.00E+99,none,none,150,manual,0
Weight,1,1.00E+99,none,none,240,norm,0
Band%,0,100,none,none,100,none,0
Blast%,0,100,none,none,100,none,0
Gleason_1,0.9,5.1,none,none,5.1,none,0
Gleason_2,0.9,5.1,none,none,5.1,none,0
Gleason_Total,1.9,10.1,none,none,10.1,none,0
PSA_Ratio,0,50,none,none,50,none,0
PT_Seconds,8,180,none,none,180,none,0
PTP,3.9,140,none,none,140,none,0
PTT,16,150,none,none,150,none,0
TEMP,31.9,42.1,none,none,42.1,none,0
Urine_Bilirubin,0,50,none,none,50,none,0
Urine_Erythrocytes,0,1000,none,none,1000,none,0
Urine_Glucose,0,1500,none,none,1500,none,0
Urine_Ketone,0,200,none,none,200,none,0
Urine_Leukocytes,0,1000,none,none,1000,none,0
Urine_Nitrite,0,1.1,none,none,1.1,none,0
Urine_PH,0,10,none,none,10,none,0
Urine_Protein,0,2000,none,none,2000,none,0
Urine_Urubilinogen,0,20,none,none,20,none,0
BP,30,140,none,none,140,none,0
BP,70,250,none,none,250,none,1
