state_id,village_id,state,district_id,district,village_name,hhid,age,household_count,minc_no,minc_farm,minc_animal,minc_labor,minc_cons,minc_self,minc_rent,minc_govt,minc_tch,minc_tchpvt,minc_ttn,minc_pnsn,minc_shop,minc_army,minc_othself,minc_dead,minc_out,minc_oth,minc_refuse,minc_pri,minc_reg,minc_month,finc_no,finc_farm,finc_animal,finc_labor,finc_cons,finc_self,finc_rent,finc_govt,finc_tch,finc_tchpvt,finc_ttn,finc_pnsn,finc_shop,finc_army,finc_othself,finc_dead,finc_out,finc_oth,finc_refuse,finc_pri,finc_reg,finc_month,npinc_out,mot_save,fath_save,child_save,oth_save,no_save,land_hectare,land_acre,land_bigha,land_kattha,land_oth_unit,land_oth_unit_spec,land_dontknw,eng_farm,tap,toilet,pri_govt_sch,starttime,duration,endtime,submissiondate,KEY,team_id,bcer_id,bcer_name,minc_count
GJ,GJ013,Gujarat,GJ013,Rajkot,Kotda Sangani,GJ013-003,46,9,,1,1,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,,1,,1,,,,,,,,,,,1,,,,,Farming,Daily wages,7-12 months,No,1,,,,,,,,10,,,,Yes,,No,Yes,,6456,,,uuid:4ur6rn94-755z-067k-71n7-o79184wi235x903i628p-9856-f4s0-u8z6-2d130117c8n9,2,26,Arjun Patel,3
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-006,40,7,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,No,,1,,,,,,,3,,,,No,,No,Yes,,3606,,,uuid:5ub7gc73-963m-264h-23x6-w24323qb183g390y972s-4939-r3t8-j2p7-8e295821v4d8,5,56,Anitha Nair,0
UP,UP038,Uttar Pradesh,UP038,Mathura,Farah,UP038-017,56,12,,1,1,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,,1,1,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,Yes,,1,,,,,,,8,,,,Yes,,No,Yes,,3867,,,uuid:0hg0ho43-569f-388z-85c1-l57956fv718c092l902x-0797-o1f6-w0z6-0k058138m2v0,4,46,Rohit Kumar,3
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-004,35,9,1,,,,,,,,,,,,,,,,,,,Animal husbandry,Irreguluar,7-12 months,,1,,,1,,,,,,,,,,,,,1,,Other,Irreguluar,7-12 months,No,,1,,,,,,,3,,,,Yes,,No,Yes,,4235,,,uuid:8um8wz44-940o-168k-35l3-z62845ol734i570b967p-5600-f2u4-l5u0-5h242230p0f4,5,56,Anitha Nair,0
AN,AN043,Anantapur,AN043,Uravakonda,Kothacheruvu,AN043-034,30,4,,,1,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,1,,,,,,,,,,,,,,,,,,,,,,No,,,,,1,,,,,,,,Yes,,No,Yes,,4408,,,uuid:3ej8lu21-175h-236b-27a6-t03781zx011y322g784d-9316-l4l1-d2c9-3h641497b6s7,1,16,Priya Sharma,2
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-010,40,7,,1,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,0-2 months,,1,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,7-12 months,No,,,,,1,,,,2,,,,Yes,,No,Yes,,2525,,,uuid:2im6qw02-765y-322t-42h8-p31212ee636f704c054n-4521-f8v7-c6w4-1r317094p6v2,5,56,Anitha Nair,2
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-017,40,8,,1,1,,,,,,,,,,,,,,,,,Farming,Other,7-12 months,,1,,,1,,,,,,,,,,,,,,,"Non-agricultural labor, incl construction and masonry",Daily wages,7-12 months,No,,,,,1,,,,6,,,,Yes,,Yes,Yes,,2554,,,uuid:7ar7ss86-674m-250t-90t1-u85857gq573q513a721h-7838-j3w1-z0b1-3l864847w1m7,4,46,Rohit Kumar,2
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-062,51,8,,1,1,,,,,,,,,,,,,,,,,Farming,Other,7-12 months,1,,,,,,,,,,,,,,,,,,,,,,No,,1,,,,,,,7,,,,Yes,,No,Yes,,4441,,,uuid:9wr6zw38-615j-194f-02x3-v44002ml773b395q712f-0043-d5k5-k3f9-0s239979j5f1,5,56,Anitha Nair,2
GJ,GJ013,Gujarat,GJ013,Rajkot,Kotda Sangani,GJ013-015,28,5,,1,1,,,,,,,,,,,,,,,,,Farming,Other,7-12 months,,1,,1,1,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,No,,,,,1,,,,3,,,,Yes,,No,Yes,,6758,,,uuid:2zq6pz49-154e-698m-66i0-j66468wv622j674k853j-0904-f6h7-j4b5-8p913681q3t7,2,26,Arjun Patel,2
AN,AN016,Anantapur,AN016,Kalyandurg,Brahmasamudram,AN016-027,26,8,1,,,,,,,,,,,,,,,,,,,Animal husbandry,Irreguluar,7-12 months,,1,1,1,,,,,,,,,,,,,,,,Farming,Other,7-12 months,Yes,,,,,1,,,,4,,,,Yes,,No,No,,7072,,,uuid:4ju7sn62-187n-097x-99o7-t60211yp612p439p129l-4145-m4w4-c4q3-1y723795a7x2,1,16,Priya Sharma,0
