ID,CREATE_TIME,ALI_FQZSCORE,BAIDU_FQZSCORE,NUMBER OF LOAN APPLICATIONS TO PBOC,ISBAD,AMOUNT,OVD_BAL
ID20260506015371,24-Oct,515,399,19,1,22000,9100
ID20260510007862,25-Feb,790,421,33,0,50000,0
ID20260503002723,24-May,795,446,30,0,50000,0
ID20260510015130,25-Apr,535,371,8,1,22000,9000
ID20260507018903,24-Nov,555,377,2,1,21000,8900
ID20260506012666,24-Aug,560,486,13,1,22000,8800
ID20260510018914,25-May,570,457,6,1,22000,8700
ID20260507008114,24-Sep,575,428,22,1,22000,8600
ID20260511003860,25-Apr,575,417,18,1,22000,8500
ID20260428006313,24-Jan,595,365,3,1,22000,8400
ID20260428021468,24-Mar,600,412,14,1,22000,8300
ID20260505007761,24-Jul,710,508,24,0,50000,0
ID20260510016214,25-Apr,600,461,6,1,21000,8200
ID20260510006732,25-Feb,605,402,16,1,21000,8100
ID20260507017318,24-Oct,605,386,5,1,21000,8000
ID20260430013953,24-May,610,382,2,1,22000,7900
ID20260501000002,24-Apr,815,369,21,0,50000,0
ID20260429011863,24-Apr,615,389,5,1,100000,7800
ID20260507010108,24-Nov,615,453,5,1,100000,7700
ID20260505006210,24-Jun,795,515,21,0,50000,0
ID20260509008032,24-Dec,620,368,19,1,50000,7600
ID20260501013910,24-Apr,630,401,10,1,20000,7500
ID20260506001744,24-Jul,635,402,21,1,50000,7400
ID20260505007553,24-Jul,635,394,8,1,20000,7300
ID20260429010770,24-Mar,640,367,17,1,50000,7200
ID20260506016751,24-Sep,640,398,11,1,50000,7100
ID20260507010425,24-Oct,640,444,8,1,50000,7000
ID20260507017456,25-Feb,645,420,20,1,50000,6900
ID20260427016025,24-Jan,645,420,4,1,100000,6800
ID20260504007720,24-May,650,406,21,1,100000,6700
ID20260428020775,24-Mar,835,471,18,0,50000,0
ID20260509009193,25-Jan,810,408,18,0,50000,0
ID20260509009407,25-Jan,650,340,4,1,20000,6600
ID20260429014507,24-Apr,655,437,21,1,50000,6500
ID20260428011112,24-Jan,655,396,11,1,20000,6400
ID20260429012265,24-Apr,655,398,10,1,50000,6300
ID20260505005377,24-Jun,655,394,4,1,50000,6200
ID20260510016365,25-Apr,815,445,17,0,50000,0
ID20260507007230,24-Sep,655,340,3,1,50000,6100
ID20260505001482,24-May,665,497,26,1,100000,6000
ID20260428017275,24-Feb,665,443,5,1,100000,5900
ID20260428004542,24-Apr,665,388,4,1,50000,5800
ID20260503009263,24-May,670,389,25,1,50000,5700
ID20260413008103,24-Feb,670,490,24,1,20000,5600
ID20260506005301,24-Aug,835,412,14,0,50000,0
ID20260510014164,25-Mar,670,470,8,1,20000,5500
ID20260506013713,24-Sep,670,387,5,1,50000,5400
ID20260510009225,25-Feb,670,538,5,1,50000,5300
ID20260506012355,24-Aug,675,388,15,1,50000,5200
ID20260505008020,24-Jul,615,514,13,0,50000,0
ID20260428008924,24-Feb,675,452,13,1,100000,5100
ID20260510014728,25-Apr,680,426,13,1,100000,5000
ID20260507017586,24-Nov,680,372,7,1,50000,4900
ID20260429006719,24-Mar,680,490,6,1,50000,4800
ID20260501017989,24-May,685,401,21,1,20000,4700
ID20260506021566,24-Sep,685,418,19,1,50000,4600
ID20260510009314,25-Mar,685,404,15,1,20000,4500
ID20260505008049,24-Jul,685,424,8,1,50000,4400
ID20260507010019,24-Oct,690,390,10,1,50000,4300
ID20260507008909,24-Oct,690,441,9,1,50000,4200
ID20260428015239,24-Jan,690,388,8,1,50000,4100
ID20260428013428,24-Jan,795,491,11,0,100000,0
ID20260502012219,24-May,760,373,11,0,100000,0
ID20260428020079,24-Jul,785,373,11,0,50000,0
ID20260502003849,24-May,690,374,5,1,50000,4000
ID20260421003702,24-Apr,690,405,4,1,20000,3900
ID20260508009367,24-Nov,695,494,21,1,50000,3800
ID20260509011334,25-Feb,695,388,17,1,20000,3700
ID20260428010229,24-Feb,695,450,12,1,50000,3600
ID20260510011132,25-Feb,695,388,5,1,50000,3500
ID20260426012938,24-Jan,655,511,10,0,50000,0
ID20260510020747,25-Apr,700,458,35,1,50000,3400
ID20260506015751,24-Sep,700,409,6,1,100000,3300
ID20260429013081,24-May,830,462,10,0,100000,0
ID20260505006417,24-Jun,665,422,10,0,50000,0
ID20260506014633,24-Sep,785,505,10,0,50000,0
ID20260510012312,25-Mar,700,412,6,1,20000,3200
ID20260506014282,24-Oct,785,422,10,0,50000,0
ID20260429012709,24-Apr,700,407,5,1,20000,3100
ID20260510007002,25-Feb,790,394,10,0,50000,0
ID20260510008813,25-Feb,830,522,10,0,50000,0
ID20260504008245,24-May,705,365,30,1,50000,3000
ID20260511014585,25-May,780,412,10,0,50000,0
ID20260428011725,24-Jan,825,442,9,0,100000,0
ID20260428019994,24-Mar,770,500,9,0,100000,0
ID20260509014254,25-Feb,705,403,12,1,50000,2900
ID20260505008528,24-Jul,760,451,9,0,50000,0
ID20260510021377,25-Apr,705,425,11,1,20000,2800
ID20260506015287,24-Sep,705,492,6,1,50000,2700
ID20260507011343,24-Oct,760,490,9,0,20000,0
ID20260509006624,24-Dec,850,463,9,0,50000,0
ID20260509008151,25-Feb,785,467,9,0,50000,0
ID20260510012834,25-Mar,800,425,9,0,50000,0
ID20260511010302,25-Apr,730,373,9,0,50000,0
ID20260511011365,25-Apr,765,479,9,0,100000,0
ID20260429002524,24-Mar,705,535,5,1,100000,2600
ID20260429007545,24-Mar,800,386,8,0,50000,0
ID20260429012374,24-Apr,800,466,8,0,50000,0
ID20260429014174,24-Apr,785,431,8,0,20000,0
ID20260504004709,24-May,825,488,8,0,50000,0
ID20260428013393,24-Jan,710,366,21,1,20000,2500
ID20260428016142,24-Feb,710,358,13,1,50000,2400
ID20260505005007,24-Jul,750,461,8,0,50000,0
ID20260506006685,24-Aug,840,397,8,0,50000,0
ID20260506010961,24-Aug,780,439,8,0,50000,0
ID20260507012188,24-Oct,800,470,8,0,100000,0
ID20260429002903,24-Mar,710,396,13,1,100000,2300
ID20260509009897,25-Jan,710,373,7,1,50000,2200
ID20260509010265,25-Jan,745,529,8,0,50000,0
ID20260509008779,25-Jan,710,389,3,1,20000,2100
ID20260510006123,25-Apr,835,425,8,0,50000,0
ID20260509011103,25-Jan,715,498,4,1,20000,2000
ID20260511007779,25-Apr,715,408,8,0,50000,0
ID20260511012664,25-Apr,815,405,8,0,50000,0
ID20260511015806,25-May,840,502,8,0,50000,0
ID20260428008942,24-Jan,770,401,7,0,50000,0
ID20260428015599,24-Feb,815,510,7,0,100000,0
ID20260428016488,24-Feb,745,476,7,0,100000,0
ID20260428018470,24-Feb,790,412,7,0,50000,0
ID20260428019492,24-Feb,795,495,7,0,50000,0
ID20260506007664,24-Aug,715,367,3,1,20000,1900
ID20260429008739,24-Mar,830,515,7,0,50000,0
ID20260507012486,24-Oct,715,427,0,1,20000,1800
ID20260509008046,25-Jan,715,390,0,1,50000,1700
ID20260429009435,24-Mar,760,400,7,0,50000,0
ID20260428011411,24-Jan,720,466,22,1,50000,1600
ID20260502012257,24-May,775,393,7,0,50000,0
ID20260504008558,24-May,720,393,12,1,100000,1500
ID20260505006668,24-Jun,720,374,2,1,100000,1400
ID20260502013020,24-Jun,760,466,7,0,50000,0
ID20260505005442,24-Jun,830,507,7,0,50000,0
ID20260509007365,24-Dec,720,468,2,1,20000,2000
ID20260505006422,24-Jun,825,507,7,0,50000,0
ID20260505006471,24-Jun,805,514,7,0,20000,0
ID20260505008196,24-Jul,785,443,7,0,50000,0
ID20260503006491,24-May,725,436,6,1,50000,2000
ID20260505008552,24-Aug,825,371,7,0,50000,0
ID20260507006053,24-Sep,785,499,7,0,50000,0
ID20260507008671,24-Sep,840,406,7,0,100000,0
ID20260507009520,24-Oct,725,482,5,1,100000,2000
ID20260507018156,24-Nov,785,455,7,0,50000,0
ID20260507018499,24-Nov,770,435,7,0,50000,0
ID20260508010495,24-Nov,775,453,7,0,20000,0
ID20260508011965,24-Dec,835,437,7,0,50000,0
ID20260508011678,24-Dec,785,437,7,0,20000,0
ID20260509009092,25-Jan,720,429,7,0,50000,0
ID20260509008852,25-Jan,780,474,7,0,50000,0
ID20260509009967,25-Jan,800,427,7,0,50000,0
ID20260508014151,24-Dec,730,411,27,1,50000,2000
ID20260509010348,25-Feb,845,402,7,0,100000,0
ID20260510012455,25-Mar,805,509,7,0,100000,0
ID20260511011555,25-May,715,509,7,0,50000,0
ID20260428007068,24-Jan,710,443,6,0,50000,0
ID20260428009538,24-Jan,805,390,6,0,20000,0
ID20260428011832,24-Jan,800,408,6,0,50000,0
ID20260428014898,24-Jan,795,503,6,0,20000,0
ID20260428016467,24-Feb,720,507,6,0,50000,0
ID20260429010173,24-Apr,730,430,7,1,50000,2000
ID20260429004761,24-Mar,825,469,6,0,50000,0
ID20260429004810,24-Mar,785,491,6,0,50000,0
ID20260506005231,24-Aug,730,373,6,1,100000,2000
ID20260429014282,24-Apr,835,414,6,0,100000,0
ID20260501012720,24-Apr,800,405,6,0,50000,0
ID20260505009247,24-Jul,730,521,4,1,50000,2000
ID20260504005216,24-May,830,445,6,0,20000,0
ID20260507008177,24-Sep,730,378,2,1,50000,2000
ID20260505005462,24-Jun,850,478,6,0,20000,0
ID20260428019668,24-Feb,735,382,7,1,50000,2000
ID20260506005242,24-Aug,835,472,6,0,50000,0
ID20260506005431,24-Aug,715,398,6,0,50000,0
ID20260505007805,24-Jul,735,383,5,1,50000,2000
ID20260429014034,24-Apr,735,340,4,1,100000,2000
ID20260505005725,24-Jun,740,420,6,1,100000,2000
ID20260429008325,24-Apr,740,426,5,1,50000,2000
ID20260506019758,24-Sep,745,436,6,0,50000,0
ID20260507007589,24-Sep,710,493,6,0,20000,0
ID20260506011627,24-Sep,740,505,6,0,50000,0
ID20260507018312,24-Nov,720,489,6,0,20000,0
ID20260507019729,24-Nov,830,449,6,0,50000,0
ID20260506004799,24-Aug,740,464,4,1,50000,2000
ID20260508011608,24-Nov,755,406,6,0,50000,0
ID20260509004070,24-Dec,845,491,6,0,50000,0
ID20260509007273,24-Dec,800,471,6,0,100000,0
ID20260509007918,24-Dec,800,458,6,0,100000,0
ID20260509007274,24-Dec,615,436,6,0,50000,0
ID20260509008873,25-Jan,820,433,6,0,50000,0
ID20260509009037,25-Jan,610,385,6,0,20000,0
ID20260509009892,25-Jan,765,496,6,0,50000,0
ID20260509010520,25-Jan,805,491,6,0,20000,0
ID20260509010478,25-Jan,785,513,6,0,50000,0
ID20260509014964,25-Feb,835,474,6,0,50000,0
ID20260510007229,25-Feb,825,476,6,0,50000,0
ID20260510007980,25-Feb,735,397,6,0,50000,0
ID20260510010446,25-Feb,785,508,6,0,100000,0
ID20260510010953,25-Mar,830,384,6,0,100000,0
ID20260507005363,24-Sep,745,389,15,1,50000,2000
