reg,code
北京,110000
天津,120000
石家庄,130100
唐山,130200
秦皇岛,130300
太原,140100
呼和浩特,150100
包头,150200
沈阳,210100
大连,210200
丹东,210600
锦州,210700
长春,220100
吉林,220200
哈尔滨,230100
牡丹江,231000
上海,310000
南京,320100
无锡,320200
徐州,320300
扬州,321000
杭州,330100
宁波,330200
温州,330300
金华,330700
合肥,340100
蚌埠,340300
安庆,340800
福州,350100
厦门,350200
泉州,350500
南昌,360100
九江,360400
赣州,360700
济南,370100
青岛,370200
烟台,370600
济宁,370800
郑州,410100
洛阳,410300
平顶山,410400
武汉,420100
宜昌,420500
襄阳,420600
长沙,430100
岳阳,430600
常德,430700
广州,440100
韶关,440200
深圳,440300
湛江,440800
惠州,441300
南宁,450100
桂林,450300
北海,450500
海口,460100
三亚,460200
重庆,500000
成都,510100
泸州,510500
南充,511300
贵阳,520100
遵义,520300
昆明,530100
大理,532900
拉萨,540100
西安,610100
兰州,620100
西宁,630100
银川,640100
乌鲁木齐,650100
