reg,regfull,code
北京,北京市,110000
天津,天津市,120000
河北,河北省,130000
山西,山西省,140000
内蒙古,内蒙古自治区,150000
辽宁,辽宁省,210000
吉林,吉林省,220000
黑龙江,黑龙江省,230000
上海,上海市,310000
江苏,江苏省,320000
浙江,浙江省,330000
安徽,安徽省,340000
福建,福建省,350000
江西,江西省,360000
山东,山东省,370000
河南,河南省,410000
湖北,湖北省,420000
湖南,湖南省,430000
广东,广东省,440000
广西,广西壮族自治区,450000
海南,海南省,460000
重庆,重庆市,500000
四川,四川省,510000
贵州,贵州省,520000
云南,云南省,530000
西藏,西藏自治区,540000
陕西,陕西省,610000
甘肃,甘肃省,620000
青海,青海省,630000
宁夏,宁夏,640000
新疆,新疆维吾尔自治区,650000
台湾,台湾,710000
香港,香港特别行政区,810000
澳门,澳门特别行政区,820000
