name,construct,severity,info
Assertions,assert,Low,Assertions are for debugging and development. Assertions can be disabled during runtime. Use in production can introduce vulnerabilities.
Insecure Network Binding,s.bind,Medium,Binding to all interfaces can expose the service to a wider network attack surface.
OS File Permissions,os.chmod,High,Changing permissions carelessly can expose sensitive files.
Directory Creation,os.makedirs,Low,Direct file system calls require careful input validation to prevent vulnerabilities.
Directory Creation,os.mkdir,Low,Direct file system calls require careful input validation to prevent vulnerabilities.
Directory Creation,os.mkfifo,Low,Direct file system calls require careful input validation to prevent vulnerabilities.
Directory Creation,os.mknod,Low,Direct file system calls require careful input validation to prevent vulnerabilities.
Directory Creation,os.makedev,Low,Direct file system calls require careful input validation to prevent vulnerabilities.
OS Forking,os.fork,Low,"On macOS use of this function is unsafe when mixed with using higher-level system APIs, and that includes using urllib.request."
Dangerous Built-in: eval,eval,High,This function can execute arbitrary code. Never safe with untrusted input.
Input Function,input,Low,User input must be strictly sanitized and validated to prevent injection vulnerabilities.
Overly Broad Exception Handling,pass,Low,Using `pass` in an `except` block can silently ignore critical security exceptions.
Overly Broad Exception Handling,continue,Low,Skipping over exceptions can mask critical errors and security risks.
Dangerous Built-in: exec,exec,High,This function can execute arbitrary code and should be used only with validated constructs.
Dangerous Built-in: compile,compile,High,This function can be used to execute arbitrary code or crash the Python interpreter.
Dynamic Imports,__import__,Medium,"Importing modules dynamically can load untrusted code."
Dynamic Imports,importlib.import_module,Medium,"Importing modules dynamically can load untrusted code."
Insecure Hashing Algorithm,hashlib.md5,High,MD5 is cryptographically broken and should not be used for security purposes.
Insecure Hashing Algorithm,hashlib.sha1,High,SHA-1 is cryptographically broken and should not be used for security purposes.
Logging Configuration,logging.config,Medium,Parsing untrusted logging configurations can lead to vulnerabilities if not handled correctly.
Pickle Usage,pickle.loads,High,Deserializing untrusted data with `pickle` can lead to arbitrary code execution.
Pickle Usage,pickle.load,High,Deserializing untrusted data with `pickle` can lead to arbitrary code execution.
Pickle Usage,pickle.Unpickler,High,Deserializing untrusted data with `pickle` can lead to arbitrary code execution.
OS Execution,os.system,High,Direct OS function calls can have significant security implications and require careful review.
OS Execution,os.execl,High,Direct OS function calls can have significant security implications and require careful review.
