item_id,start_date,end_date,item_type
PROJ-101,2024-10-01,2024-10-03,feature
PROJ-102,2024-10-02,2024-10-04,bug
PROJ-103,2024-10-03,2024-10-04,feature
PROJ-104,2024-10-04,2024-10-08,feature
PROJ-105,2024-10-07,2024-10-09,bug
PROJ-106,2024-10-08,2024-10-10,feature
PROJ-107,2024-10-09,2024-10-11,task
PROJ-108,2024-10-10,2024-10-14,feature
PROJ-109,2024-10-11,2024-10-15,feature
PROJ-110,2024-10-14,2024-10-16,bug
PROJ-111,2024-10-15,2024-10-17,feature
PROJ-112,2024-10-16,2024-10-18,task
PROJ-113,2024-10-17,2024-10-21,feature
PROJ-114,2024-10-18,2024-10-22,feature
PROJ-115,2024-10-21,2024-10-23,bug
PROJ-116,2024-10-22,2024-10-24,feature
PROJ-117,2024-10-23,2024-10-25,feature
PROJ-118,2024-10-24,2024-10-28,task
PROJ-119,2024-10-25,2024-10-29,feature
PROJ-120,2024-10-28,2024-10-30,bug
PROJ-121,2024-10-29,2024-10-31,feature
PROJ-122,2024-10-30,2024-11-01,feature
PROJ-123,2024-10-31,2024-11-04,feature
PROJ-124,2024-11-01,2024-11-05,bug
PROJ-125,2024-11-04,2024-11-06,feature
PROJ-126,2024-11-05,2024-11-07,task
PROJ-127,2024-11-06,2024-11-08,feature
PROJ-128,2024-11-07,2024-11-11,feature
PROJ-129,2024-11-08,2024-11-12,feature
PROJ-130,2024-11-11,2024-11-13,bug
PROJ-131,2024-11-12,2024-11-14,feature
PROJ-132,2024-11-13,2024-11-15,feature
PROJ-133,2024-11-14,2024-11-18,task
PROJ-134,2024-11-15,2024-11-19,feature
PROJ-135,2024-11-18,2024-11-20,bug
PROJ-136,2024-11-19,2024-11-21,feature
PROJ-137,2024-11-20,2024-11-22,feature
PROJ-138,2024-11-21,2024-11-25,feature
PROJ-139,2024-11-22,2024-11-26,feature
PROJ-140,2024-11-25,2024-11-27,bug
PROJ-141,2024-11-26,2024-11-28,feature
PROJ-142,2024-11-27,2024-11-29,task
PROJ-143,2024-11-28,2024-12-02,feature
PROJ-144,2024-11-29,2024-12-03,feature
PROJ-145,2024-12-02,2024-12-04,bug
PROJ-146,2024-12-03,2024-12-05,feature
PROJ-147,2024-12-04,2024-12-06,feature
PROJ-148,2024-12-05,2024-12-09,feature
PROJ-149,2024-12-06,2024-12-10,task
PROJ-150,2024-12-09,2024-12-11,feature
