#curie_map:
#  ibm-ai-capabilities: https://ibm.github.io/ai-atlas-nexus/capabilities/
#  hf-ml-tasks: https://huggingface.co/tasks/
#  ibmadapter: https://huggingface.co/ibm-granite/
#  semapv: https://w3id.org/semapv/vocab/
#  nexus: https://ibm.github.io/ai-atlas-nexus/ontology/
#  bigbench: https://github.com/google/BIG-bench/blob/main/bigbench/benchmark_tasks/keywords/
#mapping_set_id: https://github.com/IBM/ai-atlas-nexus/tree/main/src/data/mappings/ibm_capabilities_to_tasks.tsv
#mapping_set_description: Mapping from IBM AI Capabilities to AI Tasks
#license: https://www.apache.org/licenses/LICENSE-2.0.html
#mapping_date: "2025-11-26"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	comment
ibm-ai-capabilities:ibm-cap-reading-comprehension	Reading Comprehension	nexus:requiredByTask	hf-ml-tasks:question-answering	Question Answering	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.95	Essential for understanding questions and context
ibm-ai-capabilities:ibm-cap-contextual-understanding	Contextual Understanding	nexus:requiredByTask	hf-ml-tasks:question-answering	Question Answering	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.95	Critical for multi-turn QA and context-dependent questions
ibm-ai-capabilities:ibm-cap-logical-reasoning	Logical Reasoning	nexus:requiredByTask	hf-ml-tasks:question-answering	Question Answering	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.85	Required for inference-based and reasoning questions
ibm-ai-capabilities:ibm-cap-domain-knowledge	Domain Knowledge	nexus:requiredByTask	hf-ml-tasks:question-answering	Question Answering	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.80	Needed for domain-specific questions
ibm-ai-capabilities:ibm-cap-factual-accuracy	Factual Accuracy	nexus:requiredByTask	hf-ml-tasks:question-answering	Question Answering	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.90	Critical to avoid hallucinated answers
ibm-ai-capabilities:ibm-cap-reading-comprehension	Reading Comprehension	nexus:requiredByTask	hf-ml-tasks:summarization	Summarization	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.95	Must understand source text to summarize
ibm-ai-capabilities:ibm-cap-text-generation	Text Generation	nexus:requiredByTask	hf-ml-tasks:summarization	Summarization	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.95	Must generate coherent summary text
ibm-ai-capabilities:ibm-cap-contextual-understanding	Contextual Understanding	nexus:requiredByTask	hf-ml-tasks:summarization	Summarization	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.90	Understanding overall context and key points
ibm-ai-capabilities:ibm-cap-reading-comprehension	Reading Comprehension	nexus:requiredByTask	hf-ml-tasks:text-classification	Text Classification	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.90	Must understand text to classify it
ibm-ai-capabilities:ibm-cap-contextual-understanding	Contextual Understanding	nexus:requiredByTask	hf-ml-tasks:text-classification	Text Classification	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.85	Context helps determine correct classification
ibm-ai-capabilities:ibm-cap-text-generation	Text Generation	nexus:requiredByTask	hf-ml-tasks:text-generation	Text Generation	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.95	Core capability for the task
ibm-ai-capabilities:ibm-cap-contextual-understanding	Contextual Understanding	nexus:requiredByTask	hf-ml-tasks:text-generation	Text Generation	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.90	Maintaining context in generated text
ibm-ai-capabilities:ibm-cap-common-sense-reasoning	Common Sense Reasoning	nexus:requiredByTask	hf-ml-tasks:text-generation	Text Generation	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.80	Generating plausible and realistic text
ibm-ai-capabilities:ibm-cap-reading-comprehension	Reading Comprehension	nexus:requiredByTask	hf-ml-tasks:translation	Translation	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.95	Must understand source language text
ibm-ai-capabilities:ibm-cap-text-generation	Text Generation	nexus:requiredByTask	hf-ml-tasks:translation	Translation	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.95	Must generate fluent target language text
ibm-ai-capabilities:ibm-cap-contextual-understanding	Contextual Understanding	nexus:requiredByTask	hf-ml-tasks:translation	Translation	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.90	Preserving context and meaning across languages
ibm-ai-capabilities:ibm-cap-code-generation	Code Generation	nexus:requiredByTask	hf-ml-tasks:code-generation	Code Generation	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.95	Core capability for the task
ibm-ai-capabilities:ibm-cap-logical-reasoning	Logical Reasoning	nexus:requiredByTask	hf-ml-tasks:code-generation	Code Generation	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.90	Reasoning about program logic and control flow
ibm-ai-capabilities:ibm-cap-reading-comprehension	Reading Comprehension	nexus:requiredByTask	hf-ml-tasks:code-generation	Code Generation	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.85	Understanding natural language requirements
ibm-ai-capabilities:ibm-cap-domain-knowledge	Domain Knowledge	nexus:requiredByTask	hf-ml-tasks:code-generation	Code Generation	semapv:ManualMappingCuration	elizabeth.daly@ie.ibm.com	0.80	Knowledge of programming languages and APIs
