id,original_column_name,column_name,data_format,column_description,generated_comment,value_description,sql_table_id,pk_field,fk_field
2140,CDSCode,CDSCode,VARCHAR,"Unique identifier for each educational entity (school, district, or county office). This column serves as the primary key.","Unique identifier for each educational entity (school, district, or county office). This column serves as the primary key.",,284,PK,schools.CDSCode
2141,Academic Year,,VARCHAR,"The academic year to which the data pertains, e.g., 2014-2015.","The academic year to which the data pertains, e.g., 2014-2015.",,284,,
2142,County Code,,VARCHAR,The unique code identifying the county.,The unique code identifying the county.,,284,,
2143,District Code,,INT,The unique code identifying the school district.,The unique code identifying the school district.,,284,,
2144,School Code,,VARCHAR,The unique code identifying the school.,The unique code identifying the school.,,284,,
2145,County Name,,VARCHAR,"The name of the county, e.g., Los Angeles, San Diego, Orange, San Bernardino, Riverside.","The name of the county, e.g., Los Angeles, San Diego, Orange, San Bernardino, Riverside.",,284,,
2146,District Name,,VARCHAR,"The name of the school district, e.g., Los Angeles Unified, San Diego Unified, Oakland Unified, San Francisco Unified, Fresno Unified.","The name of the school district, e.g., Los Angeles Unified, San Diego Unified, Oakland Unified, San Francisco Unified, Fresno Unified.",,284,,
2147,School Name,,VARCHAR,"The name of the school or educational entity, e.g., District Office, Lincoln Elementary, Washington Elementary, Jefferson Elementary, Roosevelt Elementary.","The name of the school or educational entity, e.g., District Office, Lincoln Elementary, Washington Elementary, Jefferson Elementary, Roosevelt Elementary.",,284,,
2148,District Type,,VARCHAR,"The type of school district, e.g., Unified School District, Elementary School District, High School District, County Office of Education (COE), State Board of Education.","The type of school district, e.g., Unified School District, Elementary School District, High School District, County Office of Education (COE), State Board of Education.",,284,,
2149,School Type,,VARCHAR,"The type of school, e.g., Elementary Schools (Public), High Schools (Public), Intermediate/Middle Schools (Public), Continuation High Schools, Alternative Schools of Choice.","The type of school, e.g., Elementary Schools (Public), High Schools (Public), Intermediate/Middle Schools (Public), Continuation High Schools, Alternative Schools of Choice.",,284,,
2150,Educational Option Type,,VARCHAR,"The type of educational option offered by the school. Possible values include: Traditional, Continuation School, Alternative School of Choice, Community Day School, Special Education School.","The type of educational option offered by the school. Possible values include: Traditional, Continuation School, Alternative School of Choice, Community Day School, Special Education School.",,284,,
2151,NSLP Provision Status,,VARCHAR,"The National School Lunch Program (NSLP) provision status. Possible values include: Provision 2, Breakfast Provision 2, CEP, Multiple Provision Types, Provision 1.","The National School Lunch Program (NSLP) provision status. Possible values include: Provision 2, Breakfast Provision 2, CEP, Multiple Provision Types, Provision 1.",,284,,
2152,Charter School (Y/N),,INT,Indicates whether the school is a charter school. 0 represents 'No' and 1 represents 'Yes'.,Indicates whether the school is a charter school. 0 represents 'No' and 1 represents 'Yes'.,"0: N;
1: Y",284,,
2153,Charter School Number,,VARCHAR,The unique identification number assigned to a charter school.,The unique identification number assigned to a charter school.,,284,,
2154,Charter Funding Type,,VARCHAR,"The funding type for the charter school. Possible values include: Directly funded, Locally funded, Not in CS funding model.","The funding type for the charter school. Possible values include: Directly funded, Locally funded, Not in CS funding model.",,284,,
2155,IRC,,INT,Not useful.,Not useful.,Not useful,284,,
2156,Low Grade,,VARCHAR,The lowest grade level served by the school.,The lowest grade level served by the school.,,284,,
2157,High Grade,,VARCHAR,The highest grade level served by the school.,The highest grade level served by the school.,,284,,
2158,Enrollment (K-12),,FLOAT,The total student enrollment for grades Kindergarten through 12th grade.,The total student enrollment for grades Kindergarten through 12th grade.,"commonsense evidence:

K-12: 1st grade - 12nd grade ",284,,
2159,Free Meal Count (K-12),,FLOAT,The number of students eligible for free meals in grades Kindergarten through 12th grade.,The number of students eligible for free meals in grades Kindergarten through 12th grade.,"commonsense evidence:

eligible free rate = Free Meal Count / Enrollment",284,,
2160,Percent (%) Eligible Free (K-12),,FLOAT,The percentage of K-12 students eligible for free meals. This is calculated based on Enrollment (K-12) and Free Meal Count (K-12).,The percentage of K-12 students eligible for free meals. This is calculated based on Enrollment (K-12) and Free Meal Count (K-12).,,284,,
2161,FRPM Count (K-12),,FLOAT,The count of K-12 students eligible for Free or Reduced-Price Meals (FRPM). This count represents the total number of K-12 students eligible for either free or reduced-price meals.,The count of K-12 students eligible for Free or Reduced-Price Meals (FRPM). This count represents the total number of K-12 students eligible for either free or reduced-price meals.,"commonsense evidence:

eligible FRPM rate = FRPM / Enrollment",284,,
2162,Percent (%) Eligible FRPM (K-12),,FLOAT,The percentage of K-12 students eligible for Free or Reduced-Price Meals (FRPM). This is calculated based on Enrollment (K-12) and FRPM Count (K-12).,The percentage of K-12 students eligible for Free or Reduced-Price Meals (FRPM). This is calculated based on Enrollment (K-12) and FRPM Count (K-12).,,284,,
2163,Enrollment (Ages 5-17),,FLOAT,The total student enrollment for ages 5-17.,The total student enrollment for ages 5-17.,,284,,
2164,Free Meal Count (Ages 5-17),,FLOAT,The count of students aged 5-17 eligible for free meals. This count represents the number of students aged 5-17 who qualify for free school meals.,The count of students aged 5-17 eligible for free meals. This count represents the number of students aged 5-17 who qualify for free school meals.,"commonsense evidence:

eligible free rate = Free Meal Count / Enrollment",284,,
2165,Percent (%) Eligible Free (Ages 5-17),,FLOAT,The percentage of students aged 5-17 eligible for free meals. This is calculated based on Enrollment (Ages 5-17) and Free Meal Count (Ages 5-17).,The percentage of students aged 5-17 eligible for free meals. This is calculated based on Enrollment (Ages 5-17) and Free Meal Count (Ages 5-17).,,284,,
2166,FRPM Count (Ages 5-17),,FLOAT,The count of students aged 5-17 eligible for Free or Reduced-Price Meals (FRPM). This count represents the total number of students aged 5-17 eligible for either free or reduced-price meals.,The count of students aged 5-17 eligible for Free or Reduced-Price Meals (FRPM). This count represents the total number of students aged 5-17 eligible for either free or reduced-price meals.,,284,,
2167,Percent (%) Eligible FRPM (Ages 5-17),,FLOAT,The percentage of students aged 5-17 eligible for Free or Reduced-Price Meals (FRPM). This is calculated based on Enrollment (Ages 5-17) and FRPM Count (Ages 5-17).,The percentage of students aged 5-17 eligible for Free or Reduced-Price Meals (FRPM). This is calculated based on Enrollment (Ages 5-17) and FRPM Count (Ages 5-17).,,284,,
2168,2013-14 CALPADS Fall 1 Certification Status,,INT,The certification status of the 2013-14 California Longitudinal Pupil Achievement Data System (CALPADS) Fall 1 submission. Possible values include 1 (Certified).,"The certification status of the school's CALPADS Fall 1 submission for the 2013-14 academic year. Based on the example data, possible values include 1 (certified) or null (not certified).",,284,,
2169,cds,cds,VARCHAR,"Unique identifier for the school, district, or county.","Unique identifier for the school, district, or county.",,285,PK,schools.CDSCode
2170,rtype,,VARCHAR,"Type of entity represented by the row. Possible values include: S, D.","Type of entity represented by the row. Possible values include: S, D.",unuseful,285,,
2171,sname,school name,VARCHAR,Name of the school.,Name of the school.,,285,,
2172,dname,district name,VARCHAR,Name of the district.,Name of the district.,,285,,
2173,cname,county name,VARCHAR,Name of the county.,Name of the county.,,285,,
2174,enroll12,enrollment (1st-12nd grade),INT,Number of students enrolled in 12th grade.,Number of students enrolled in 12th grade.,,285,,
2175,NumTstTakr,Number of Test Takers,INT,Number of test takers in each school.,Number of test takers in each school.,number of test takers in each school,285,,
2176,AvgScrRead,average scores in Reading,INT,Average scores in Reading.,Average scores in Reading.,average scores in Reading,285,,
2177,AvgScrMath,average scores in Math,INT,Average scores in Math.,Average scores in Math.,average scores in Math,285,,
2178,AvgScrWrite,average scores in writing,INT,Average scores in writing.,Average scores in writing.,average scores in writing,285,,
2179,NumGE1500,Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500,INT,Number of test takers whose total SAT scores are greater than or equal to 1500. This refers to the count of individuals who achieved a combined score of 1500 or higher across all sections of the SAT.,Number of test takers whose total SAT scores are greater than or equal to 1500. This refers to the count of individuals who achieved a combined score of 1500 or higher across all sections of the SAT.,"Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500

commonsense evidence:

Excellence Rate = NumGE1500 / NumTstTakr",285,,
2180,CDSCode,CDSCode,VARCHAR,A unique identifier for the school. This is the primary key.,A unique identifier for the school. This is the primary key.,,286,PK,
2181,NCESDist,National Center for Educational Statistics school district identification number,VARCHAR,The National Center for Education Statistics (NCES) District ID.,The National Center for Education Statistics (NCES) District ID.,,286,,
2182,NCESSchool,National Center for Educational Statistics school identification number,VARCHAR,The National Center for Education Statistics (NCES) School ID.,The National Center for Education Statistics (NCES) School ID.,,286,,
2183,StatusType,,VARCHAR,"The operational status of the school. Possible values include: Active, Closed, Merged, Pending.","The operational status of the school. Possible values include: Active, Closed, Merged, Pending.","Definitions of the valid status types are listed below:
·       Active: The district is in operation and providing instructional services.
·       Closed: The district is not in operation and no longer providing instructional services.
·       Merged: The district has combined with another district or districts.
·       Pending: The district has not opened for operation and instructional services yet, but plans to open within the next 9–12 months.",286,,
2184,County,,VARCHAR,The county where the school is located.,The county where the school is located.,,286,,
2185,District,,VARCHAR,The school district to which the school belongs.,The school district to which the school belongs.,,286,,
2186,School,,VARCHAR,The name of the school.,The name of the school.,,286,,
2187,Street,,VARCHAR,The street address of the school.,The street address of the school.,,286,,
2188,StreetAbr,street address ,VARCHAR,"The abbreviated street address of the school, used for mailing or display purposes.","The abbreviated street address of the school, used for mailing or display purposes.","The abbreviated street address of the school, district, or administrative authority’s physical location. Note: Some records (primarily records of closed or retired schools) may not have data in this field.",286,,
2189,City,,VARCHAR,The city where the school is located.,The city where the school is located.,,286,,
2190,Zip,,VARCHAR,The zip code associated with the physical address of the school.,The zip code associated with the physical address of the school.,,286,,
2191,State,,VARCHAR,The state associated with the physical address of the school. Example values include: CA.,The state associated with the physical address of the school. Example values include: CA.,,286,,
2192,MailStreet,,VARCHAR,The unabbreviated mailing address of the school.,The unabbreviated mailing address of the school.,"The unabbreviated mailing address of the school, district, or administrative authority. Note: 1) Some entities (primarily closed or retired schools) may not have data in this field; 2) Many active entities have not provided a mailing street address. For your convenience we have filled the unpopulated MailStreet cells with Street data.",286,,
2193,MailStrAbr,mailing street address ,VARCHAR,The abbreviated mailing street address of the school.,The abbreviated mailing street address of the school.,"the abbreviated mailing street address of the school, district, or administrative authority.Note: Many active entities have not provided a mailing street address. For your convenience we have filled the unpopulated MailStrAbr cells with StreetAbr data.",286,,
2194,MailCity,mailing city,VARCHAR,The city associated with the mailing address of the school.,The city associated with the mailing address of the school.,"The city associated with the mailing address of the school, district, or administrative authority. Note: Many entities have not provided a mailing address city. For your convenience we have filled the unpopulated MailCity cells with City data.",286,,
2195,MailZip,mailing zip ,VARCHAR,The zip code associated with the mailing address of the school.,The zip code associated with the mailing address of the school.,"The zip code associated with the mailing address of the school, district, or administrative authority. Note: Many entities have not provided a mailing address zip code. For your convenience we have filled the unpopulated MailZip cells with Zip data.",286,,
2196,MailState,mailing state,VARCHAR,The state within the mailing address. Example values include: CA.,The state within the mailing address. Example values include: CA.,The state within the mailing address. For your convenience we have filled the unpopulated MailState cells with State data.,286,,
2197,Phone,,VARCHAR,"The primary telephone number of the school, district, or office.","The primary telephone number of the school, district, or office.",,286,,
2198,Ext,extension,VARCHAR,"The phone number extension of the school, district, or office.","The phone number extension of the school, district, or office.","The phone number extension of the school, district, or administrative authority.",286,,
2199,Website,,VARCHAR,"The website address of the school, district, or office.","The website address of the school, district, or office.","The website address of the school, district, or administrative authority.",286,,
2200,OpenDate,,DATE,The date the school opened.,The date the school opened.,,286,,
2201,ClosedDate,,DATE,The date the school closed.,The date the school closed.,,286,,
2202,Charter,,INT,"Indicates if the school is a charter school. Values are: 0 = not a charter school, 1 = charter school.","Indicates if the school is a charter school. Values are: 0 = not a charter school, 1 = charter school.","The field is coded as follows:

·       1 = The school is a charter

·       0 = The school is not a charter",286,,
2203,CharterNum,,VARCHAR,A 4-digit number assigned to a charter school.,A 4-digit number assigned to a charter school.,4-digit number assigned to a charter school.,286,,
2204,FundingType,,VARCHAR,"The type of funding the school receives. Values are: Directly funded, Locally funded, Not in CS funding model.","The type of funding the school receives. Values are: Directly funded, Locally funded, Not in CS funding model.","Values are as follows:

·       Not in CS (California School) funding model

·       Locally funded

·       Directly funded",286,,
