# Batch dataset 1: a=5.5, b=0.4, c=1.0
x,y,sigma
0.000000,6.403788,0.150000
0.204082,6.235459,0.150000
0.408163,5.712821,0.150000
0.612245,5.442371,0.150000
0.816327,4.995737,0.150000
1.020408,4.851225,0.150000
1.224490,4.403661,0.150000
1.428571,3.883353,0.150000
1.632653,4.080265,0.150000
1.836735,3.495958,0.150000
2.040816,3.619248,0.150000
2.244898,3.227165,0.150000
2.448980,3.241455,0.150000
2.653061,3.073390,0.150000
2.857143,2.818508,0.150000
3.061224,2.692772,0.150000
3.265306,2.553170,0.150000
3.469388,2.070919,0.150000
3.673469,2.283114,0.150000
3.877551,1.998764,0.150000
4.081633,2.100436,0.150000
4.285714,1.819066,0.150000
4.489796,1.735119,0.150000
4.693878,2.082044,0.150000
4.897959,1.935771,0.150000
5.102041,1.713953,0.150000
5.306122,1.686274,0.150000
5.510204,1.569748,0.150000
5.714286,1.644839,0.150000
5.918367,1.414102,0.150000
6.122449,1.624160,0.150000
6.326531,1.399893,0.150000
6.530612,1.340556,0.150000
6.734694,1.375157,0.150000
6.938776,1.254075,0.150000
7.142857,1.365182,0.150000
7.346939,1.210513,0.150000
7.551020,1.338576,0.150000
7.755102,1.429666,0.150000
7.959184,1.119984,0.150000
8.163265,1.190433,0.150000
8.367347,1.262755,0.150000
8.571429,1.113004,0.150000
8.775510,1.234048,0.150000
8.979592,1.234822,0.150000
9.183673,1.302125,0.150000
9.387755,1.037791,0.150000
9.591837,0.977185,0.150000
9.795918,1.063168,0.150000
10.000000,0.955573,0.150000
