# Batch dataset 2: a=6.0, b=0.5, c=1.0
x,y,sigma
0.000000,7.084675,0.150000
0.204082,6.243693,0.150000
0.408163,6.242327,0.150000
0.612245,5.612168,0.150000
0.816327,4.991108,0.150000
1.020408,4.732347,0.150000
1.224490,4.007275,0.150000
1.428571,4.315756,0.150000
1.632653,3.563783,0.150000
1.836735,3.376947,0.150000
2.040816,2.884297,0.150000
2.244898,3.025833,0.150000
2.448980,2.597494,0.150000
2.653061,2.607627,0.150000
2.857143,2.356265,0.150000
3.061224,2.136757,0.150000
3.265306,2.051808,0.150000
3.469388,2.092593,0.150000
3.673469,1.763798,0.150000
3.877551,1.750958,0.150000
4.081633,1.879027,0.150000
4.285714,2.094287,0.150000
4.489796,1.707268,0.150000
4.693878,1.436380,0.150000
4.897959,1.463223,0.150000
5.102041,1.472751,0.150000
5.306122,1.370198,0.150000
5.510204,1.517074,0.150000
5.714286,1.377217,0.150000
5.918367,1.447345,0.150000
6.122449,1.233815,0.150000
6.326531,1.452550,0.150000
6.530612,1.204139,0.150000
6.734694,1.061207,0.150000
6.938776,1.513415,0.150000
7.142857,0.894947,0.150000
7.346939,1.041519,0.150000
7.551020,1.043498,0.150000
7.755102,1.500455,0.150000
7.959184,1.383188,0.150000
8.163265,1.325369,0.150000
8.367347,1.041856,0.150000
8.571429,1.446509,0.150000
8.775510,1.129824,0.150000
8.979592,1.213927,0.150000
9.183673,1.087760,0.150000
9.387755,1.047487,0.150000
9.591837,1.011814,0.150000
9.795918,1.013325,0.150000
10.000000,1.131701,0.150000
